row;position;condition;height;species;ants;locusts;notes
1;1;3;10;Y;;;
1;2;2;10;G;;;
1;3;3;10;Y;;;
1;4;3;10;Cu;;;
1;5;3;10;Y;;;
1;6;3;10;Cu;;;
1;7;3;10;Y;;;
1;8;3;10;G;;x;
1;9;3;10;Y;;;
1;10;3;10;G;;x;
1;11;3;10;Y;;;
1;12;3;10;G;;;
1;13;3;10;Y;;;
1;14;3;10;Y;;;
1;15;3;10;Y;;;
1;16;3;10;Y;;;
1;17;3;10;Y;;;
1;18;3;10;P;;;small leaves sprout, recovers
1;19;3;10;Y;;;
1;20;3;10;G;;;
1;21;3;10;Cu;;;
1;22;3;10;Y;;;
1;23;3;10;G;;x;
1;24;3;10;Cu;x;;
1;25;3;10;U;;;
1;26;3;10;G;;;
1;27;3;10;P;;;
1;28;3;10;Y;;;
1;29;3;10;G;;x;
1;30;3;10;Cu;;;
1;31;3;10;Y;;;recovers, stems and shoots
1;32;3;10;Y;;;
1;33;3;10;U;x;;
1;34;3;10;G;x;;
1;35;3;10;P;;;
1;36;3;10;Y;;;
1;37;3;10;Y;;;
1;38;3;10;Y;;;
1;39;3;10;P;;;
2;1;3;10;G;;x;
2;2;2;10;Cu;;;
2;3;3;10;G;;x;
2;4;3;10;G;;;
2;5;3;10;U;x;;
2;6;3;10;Y;;;
2;7;3;10;G;;;
2;8;3;10;C;;;
2;9;3;10;Cu;;;
2;10;3;10;Cu;;;
2;11;3;10;Y;;;
2;12;3;10;Cu;;;recovering
2;13;3;10;G;;;
2;14;3;10;Y;;;
2;15;3;10;G;;;
2;16;3;10;Cu;;;
2;17;3;10;Cu;x;;
2;18;3;10;G;;;
2;19;3;10;P;;;
2;20;3;10;Y;;;
2;21;3;10;P;;;Tip dry
2;22;3;10;L;;;
2;23;3;10;P;;;
2;24;3;10;Y;;;
2;25;3;10;Y;;;
2;26;3;10;L;;;
2;27;3;10;Y;;;
2;28;0;10;P;;;
2;29;3;10;Y;;;
2;30;3;10;P;x;;
2;31;3;10;U;;;
2;32;3;10;G;;x;
2;33;3;10;Cu;;;
2;34;3;10;Y;;;
2;35;3;10;Cu;;;
2;36;3;10;Y;;;
2;37;3;10;Y;;;
2;38;3;10;U;;;
2;39;3;10;Y;;;
3;1;3;10;Cu;;;
3;2;2;10;Y;;;
3;3;3;10;G;;x;
3;4;3;10;C;;;
3;5;3;10;Y;;;
3;6;3;10;C;x;;new shoots
3;7;3;10;Y;;;
3;8;3;10;Y;;;
3;9;3;10;G;;x;
3;10;0;10;P;;;
3;11;3;10;C;;;
3;12;0;10;?;;;
3;13;3;10;Cu;;;
3;14;0;10;?;;;
3;15;3;10;Cu;x;;
3;16;3;10;G;;;
3;17;3;10;L;;;
3;18;3;10;Y;;;
3;19;3;10;Y;;;
3;20;3;10;Y;;;
3;21;2;10;C;;;Stems and leaves missing
3;22;3;10;Y;;;
3;23;3;10;Y;;;
3;24;3;10;G;;;
3;25;3;10;Cu;;;
3;26;3;10;Y;;;
3;27;3;10;U;;;
3;28;3;10;Y;;;
3;29;3;10;P;x;x;
3;30;3;10;G;x;;
3;31;3;10;G;;;
3;32;3;10;Y;;;
3;33;3;10;L;;;
3;34;0;10;?;;;
3;35;3;10;Y;;;
3;36;3;10;P;;;
3;37;3;10;Cu;;;
3;38;3;10;G;;x;
3;39;3;10;Y;x;;recovering
4;1;3;10;Y;;;
4;2;2;10;G;x;x;
4;3;3;10;Cu;;;
4;4;3;10;Y;;;
4;5;3;10;Cu;;;
4;6;3;10;Cu;;;
4;7;3;10;Y;;;
4;8;3;10;P;;;
4;9;3;10;L;;;
4;10;3;10;Y;;;
4;11;3;10;G;;x;
4;12;2;10;Y;;;no leaves
4;13;2;10;Y;;;no leaves
4;14;3;10;Y;;;
4;15;3;10;Y;;;
4;16;3;10;Y;;;
4;17;3;10;P;;;
4;18;3;10;Cu;;;
4;19;3;10;L;;;
4;20;0;10;P;;;
4;21;3;10;P;;;
4;22;3;10;Y;;;
4;23;3;10;L;;;
