row;position;condition;heigth;species;ants;locusts;stick;notes
1;1;2;10;Y;;;;bare
1;2;3;10;G;;;;
1;3;3;10;Y;;;;
1;4;3;10;Cu;;;;
1;5;3;10;Y;;;;
1;6;3;10;Cu;;;;
1;7;3;10;Y;;;;
1;8;3;10;G;;x;;
1;9;3;10;Y;;;;
1;10;3;10;G;;;;
1;11;3;10;Y;;;;
1;12;3;10;G;;;;
1;13;4;10;Y;;;;
1;14;3;10;Y;;;;
1;15;3;10;Y;;;;
1;16;2;10;Y;;;;almost bare
1;17;2;10;Y;;;;bare
1;18;3;10;P;x;;;small leaves sprouting, recovering
1;19;2;10;Y;;;;bald
1;20;2;5;G;;;;tip missing, many new leaves
1;21;3;10;Cu;;;;
1;22;3;10;Y;;;;
1;23;3;10;G;;x;;newer leaves less severely affected m. H
1;24;2;10;Cu;x;;;tip off, few leaves, new shoots
1;25;4;10;U;;;;
1;26;3;10;G;x;;;
1;27;2;10;P;;;;bare
1;28;3;10;Y;;;;losing leaves
1;29;3;10;G;;x;;
1;30;3;10;Cu;;;;
1;31;3;10;Y;;;;recovers
1;32;3;10;Y;;;;
1;33;3;10;U;x;;;
1;34;4;10;G;x;;;
1;35;3;10;P;x;;;
1;36;3;10;Y;;;;
1;37;3;10;Y;;;;
1;38;3;10;Y;;;;
1;39;3;10;P;;;;
2;1;3;10;G;;x;;
2;2;3;10;Cu;;;;
2;3;3;10;Y;;;;
2;4;3;10;G;x;;;
2;5;3;10;C;;;;
2;6;3;10;Y;;;;
2;7;3;10;G;;;;
2;8;3;10;C;;;;
2;9;3;10;Cu;;;;
2;10;3;10;Cu;;;;
2;11;3;10;Y;;;;
2;12;3;10;Cu;;;;recovering
2;13;3;10;G;;;;
2;14;3;10;Y;;;;
2;15;3;10;G;x;;;
2;16;3;10;Cu;;;;
2;17;3;10;Cu;;;;
2;18;3;10;G;;;;
2;19;2;10;P;x;;;heavily eaten
2;20;2;10;Y;;;;almost bare
2;21;3;10;P;;;;tip dry, recovering, many new leaves
2;22;2;10;L;;;;bare
2;23;2;10;P;x;;;heavily eaten
2;24;3;10;Y;;;;losing leaves
2;25;3;10;Y;;;;
2;26;3;10;L;;;;
2;27;3;10;Y;;;;
2;28;0;10;P;;;;
2;29;3;10;Y;;;;
2;30;3;10;P;x;;;
2;31;3;10;U;x;;;Tip dry, losing leaves
2;32;4;10;G;x;x;;
2;33;3;10;Cu;;;;
2;34;3;10;Y;;;;
2;35;3;10;Cu;;;;
2;36;3;10;Y;;;;
2;37;3;10;Y;;;;
2;38;3;10;U;;;;
2;39;3;10;Y;;;;
3;1;3;10;Cu;;;;
3;2;3;10;Y;;;;loses leaves
3;3;3;10;G;;x;;
3;4;3;10;C;;;;loses leaves
3;5;3;10;Y;;;;
3;6;2;5;C;x;;;2 new shoots, tip removed
3;7;3;10;Cu;;;;
3;8;3;10;Y;;;;
3;9;3;10;G;;x;;
3;10;2;1;P;;;;sprouting again!, 3 leaves
3;11;3;10;C;;;;
3;12;0;10;?;;;;
3;13;3;10;Cu;;;;
3;14;0;10;?;;;;
3;15;3;10;Cu;;;;
3;16;3;10;G;x;;;
3;17;2;10;L;x;;;leaves turning black
3;18;2;10;Y;x;;;almost bare, 1 shoot at tip
3;19;3;10;Y;;;;
3;20;3;10;Y;;;;
3;21;0;10;C;;;;bare, dry
3;22;3;10;Y;;;;
3;23;3;10;Y;;;;
3;24;3;10;G;;;;
3;25;3;10;Cu;;;;
3;26;3;10;Y;;;;
3;27;3;10;U;;;;
3;28;3;10;Cu;;;;
3;29;3;10;P;x;;;
3;30;3;10;G;x;;;
3;31;4;10;G;;;;
3;32;3;10;Y;;;;
3;33;3;10;L;;;;
3;34;0;10;?;;;;Something else grows in the same place...
3;35;3;10;Y;;;;
3;36;3;10;P;x;;;
3;37;3;10;Cu;;;;
3;38;3;10;G;;x;;
3;39;3;10;Y;x;;;recovering
4;1;3;10;Y;;;;
4;2;3;10;G;;;;new leaves without feeding damage
4;3;3;10;Cu;;;;
4;4;3;10;Y;;;;losing leaves
4;5;3;10;Cu;;;;
4;6;3;10;Cu;;;;
4;7;3;10;Y;;;;
4;8;3;10;P;x;;;
4;9;2;10;L;x;;;leaves turn black, but has new leaves
4;10;2;10;Y;;;;almost bare, shoots at tip
4;11;3;10;G;;x;;
4;12;2;10;Y;;;;new shoots
4;13;2;10;Y;;;;new shoots
4;14;3;10;Y;;;;
4;15;;10;;;;;Old stock, Yvyra pyta
4;16;3;10;Y;;;;
4;17;0;10;P;;;;
4;18;3;10;Cu;;;!;
4;19;2;10;L;x;;;Leaves turn black, but has new leaves
4;20;0;10;P;;;;
4;21;3;10;P;;;;
4;22;3;10;Y;;;;
4;23;3;10;L;;;;
4;24;3;10;Y;;;;
4;25;3;10;Y;;;;
4;26;3;10;G;;x;;
4;27;3;10;Cu;;;;
4;28;3;10;Y;;;;
4;29;3;10;L;;;;
4;30;3;10;Y;;;;
4;31;3;10;L;x;x;;
4;32;4;10;P;;;;
4;33;3;10;Y;;;;loses leaves
4;34;3;10;Y;;;;loses leaves
4;35;3;10;Cu;;;;
4;36;3;10;L;;;;
4;37;3;10;Y;;;;
4;38;3;10;L;x;;;
4;39;3;10;P;;;;
5;1;3;10;G;x;;;
5;2;3;10;Cu;;;!;
5;3;3;10;Y;;;;
5;4;3;10;G;;;;
5;5;2;5;C;x;;;Tips dead, bare, shoots
5;6;3;10;Y;;;;
5;7;2;10;C;;;;Tips dry, new shoots
5;8;3;10;G;x;;;
