row;position;condition;heigth;species;ants;locusts;notes
1;1;3;20;Y;;;recovering
1;2;3;50;G;;;
1;3;3;40;Y;;;
1;4;3;60;Cu;;;
1;5;3;40;Y;;;
1;6;3;60;Cu;;;
1;7;3;40;Y;;;
1;8;3;50;G;;;Something else grows in the same place
1;9;3;40;Y;;;
1;10;3;40;G;;;
1;11;3;30;Y;;;
1;12;3;40;G;;;
1;13;3;30;Y;;;
1;14;3;30;Y;;;
1;15;3;40;Y;;;
1;16;3;30;Y;;;2 trees next to each other, 1 removed later
1;17;3;40;Y;;;
1;18;2;15;P;;;recovering
1;19;3;40;Y;;;
1;20;3;20;G;;;
1;21;3;40;Cu;;;
1;22;3;20;Y;;;
1;23;3;30;G;;;new leaves less severely affected
1;24;3;20;Cu;;;
1;25;4;50;U;;;
1;26;3;40;G;;x;
1;27;0;0;P;;;nothing to see
1;28;3;40;Y;;;
1;29;3;40;G;;x;
1;30;3;40;Cu;;;
1;31;3;30;Y;;;
1;32;3;30;Y;;;
1;33;4;50;U;;;
1;34;4;60;G;;x;
1;35;4;50;P;;;
1;36;3;30;Y;;;
1;37;3;40;Y;;;
1;38;3;25;Y;;;
1;39;3;15;P;;;
2;1;3;50;G;;;
2;2;3;50;Cu;;;
2;3;2;20;Y;;x;
2;4;3;50;G;;;
2;5;3;20;C;;;
2;6;3;;Y;;;
2;7;3;40;G;;;
2;8;2;25;C;;;
2;9;3;90;Cu;;;2 trees next to each other, 1 removed later
2;10;3;20;Cu;;;
2;11;3;30;Y;;;
2;12;3;30;Cu;;;
2;13;3;30;G;;;
2;14;3;30;Y;;;
2;15;3;60;G;;;
2;16;3;30;Cu;;;
2;17;3;50;Cu;;;
2;18;3;40;G;;;
2;19;2;25;P;x;;
2;20;3;25;Y;;;
2;21;3;20;P;;;
2;22;0;0;L;;;nothing to see
2;23;3;30;P;;x;
2;24;2;;Y;;;
2;25;3;40;Y;;;
2;26;3;20;L;;;
2;27;2;30;Y;;;
2;28;0;0;P;;;
2;29;3;40;Y;;;
2;30;3;40;P;;;
2;31;3;30;U;;;
2;32;3;60;G;;;
2;33;3;50;Cu;x;;
2;34;3;30;Y;;;
2;35;4;110;Cu;x;;
2;36;3;40;Y;;;
2;37;3;30;Y;;;
2;38;4;70;U;;;
2;39;3;30;Y;;;
3;1;4;90;Cu;;;
3;2;3;30;Y;;;
3;3;3;50;G;;;
3;4;2;15;C;;;presumed dead
3;5;3;30;Y;;;
3;6;0;0;C;x;;
3;7;3;50;Cu;x;;
3;8;3;30;Y;;;2 trees next to each other, 1 removed later
3;9;3;40;G;;x;
3;10;0;0;P;;;
3;11;2;20;C;;;recovering
3;12;0;0;?;;;
3;13;3;40;Cu;;;
3;14;0;0;?;;;
3;15;3;40;Cu;;;
3;16;3;30;G;;;
3;17;2;10;L;;;Old stock right next to it (?) recovering
3;18;3;30;Y;;;
3;19;3;40;Y;;;
3;20;3;40;Y;;;
3;21;0;0;C;;;
3;22;3;40;Y;;;
3;23;3;40;Y;;;
3;24;3;50;G;;;
3;25;3;60;Cu;;;
3;26;3;40;Y;;;
3;27;3;40;U;;;
3;28;3;60;Cu;;;2 trees next to each other, 1 removed later
3;29;3;30;P;;;
3;30;3;30;G;;;
3;31;4;110;G;;;
3;32;3;40;Y;;;
3;33;2;20;L;;;new leaves less severely affected
3;34;0;0;?;;;
3;35;2;30;Y;;;
3;36;3;30;P;x;;
3;37;4;50;Cu;;;
3;38;3;50;G;;;
3;39;3;10;Y;;;recovering
4;1;4;40;Y;;;
4;2;3;40;G;;;
4;3;4;;Cu;x;;2 trees next to each other, 1 removed later
4;4;3;30;Y;;;
4;5;4;50;Cu;;;2 trees next to each other, 1 removed later
4;6;4;70;Cu;x;;
4;7;2;30;Y;;;
4;8;3;20;P;;;
4;9;2;;L;;;
4;10;2;25;Y;;;
4;11;3;40;G;;;
4;12;2;20;Y;;;recovering
4;13;2;15;Y;;;
4;14;2;30;Y;;;
4;15;;;;;;Old stock (Yvyra pyta)
4;16;3;30;Y;;;
4;17;0;0;P;;;
4;18;3;90;Cu;;;
4;19;2;;L;;;recovering
4;20;0;0;P;;;
4;21;2;3;P;;;
4;22;3;40;Y;;;
4;23;3;40;L;;;
4;24;3;30;Y;;;
4;25;3;40;Y;;;
4;26;3;30;G;;;
4;27;4;60;Cu;x;;
4;28;3;40;Y;;;
4;29;3;30;L;x;;
4;30;3;30;Y;;;
4;31;3;20;L;;;
4;32;3;30;P;;;
4;33;3;30;Y;;;
4;34;2;30;Y;;;
4;35;4;50;Cu;;;
4;36;3;20;L;;;recovering
4;37;3;25;Y;;;
4;38;4;70;L;;;
4;39;3;30;P;;;
5;1;3;50;G;;;
