row;position;condition;heigth;species;notes
1;1;4;100;Y;
1;2;3;50;G;
1;3;4;150;Y;
1;4;4;200;Cu;
1;5;4;100;Y;
1;6;4;200;Cu;
1;7;3;100;Y;
1;8;3;150;L;
1;9;3;50;Y;
1;10;3;50;G;
1;11;2;49;Y;
1;12;2;49;G;
1;13;3;50;Y;
1;14;4;100;Y;
1;15;4;150;Y;
1;16;4;150;Y;
1;17;4;200;Y;
1;18;3;50;P;
1;19;4;200;Y;
1;20;4;150;G;
1;21;4;200;Cu;
1;22;4;200;Y;
1;23;4;150;G;
1;24;4;200;Cu;
1;25;4;200;U;
1;26;3;150;G;
1;27;3;200;Cu;
1;28;4;200;Y;
1;29;3;100;G;
1;30;4;200;Cu;
1;31;4;200;Y;
1;32;4;200;Y;
1;33;4;200;U;
1;34;4;200;G;
1;35;4;150;P;
1;36;4;200;Y;
1;37;4;200;Y;
1;38;4;200;Y;
1;39;3;100;P;
2;1;4;200;G;
2;2;4;200;Cu;
2;3;2;25;Y;
2;4;3;50;G;
2;5;2;49;C;
2;6;4;150;Y;
2;7;2;10;G;!! Stummel mit Blatt, ausgefranzt, vmtl abgemäht 
2;8;0;;C;war:25
2;9;4;200;Cu;
2;10;3;50;Cu;
2;11;0;;Y;
2;12;0;;Cu;
2;13;2;40;G;
2;14;3;50;Y;
2;15;4;150;G;
2;16;4;200;Cu;
2;17;4;200;Cu;
2;18;3;50;G;
2;19;3;50;P;
2;20;4;100;Y;
2;21;3;100;P;
2;22;0;;L;war:40
2;23;3;150;P;
2;24;0;;Y;war:40
2;25;3;50;Y;
2;26;3;50;L;
2;27;3;50;Y;
2;28;4;200;Ti;
2;29;3;100;Y;
2;30;3;100;P;
2;31;4;200;U;
2;32;2;50;G;
2;33;4;200;Cu;
2;34;4;150;Y;
2;35;4;200;Cu;
2;36;4;150;Y;
2;37;4;150;Y;
2;38;4;200;U;
2;39;4;200;Y;
3;1;4;200;Cu;
3;2;3;100;Y;
3;3;3;50;G;
3;4;0;;C;
3;5;2;50;Y;
3;6;4;200;Ti;
3;7;4;200;Cu;
3;8;3;30;Y;
3;9;3;40;G;
3;10;0;;P;
3;11;0;;C;
3;12;4;150;Ti;
3;13;3;100;Cu;
3;14;4;150;Ti;
3;15;4;200;Cu;
3;16;3;30;G;
3;17;3;49;L;
3;18;2;40;Y;
3;19;3;50;Y;
3;20;3;40;Y;
3;21;3;20;L;
3;22;2;50;Y;
3;23;4;100;Y;
3;24;3;100;G;
3;25;4;200;Cu;
