row;position;condition;size;species;notes
35;2;4;200;Cu;Neighbor's tree needs to be cut down (otherwise it will grow together)
35;1;4;200;G;
34;6;4;150;G;Old stock right next to it (Yvyra pyta)
34;5;4;200;G;
34;4;4;150;G;Old stock between 4 and 5 
34;3;4;150;L;Old stock right next to it (Curupa'y)
34;2;4;200;Cu;
34;1;4;200;G;
33;16;4;200;Ti;Old stock right next to it (Curupa'y)
33;15;4;200;G;Neighbor's tree needs to be cut down (otherwise it will grow together)
33;14;4;200;Cu;"Neighbor's tree needs to be cut down (otherwise it will grow together), Old stock right next to it (Paraiso)"
33;13;4;200;G;Neighbor's tree needs to be cut down (otherwise it will grow together)
33;12;4;200;Cu;
33;11;4;200;Cu;
33;10;4;25;L;
33;9;4;150;G;
33;8;4;100;L;
33;7;4;200;Cu;
33;6;4;50;G;
33;5;4;50;L;
33;4;4;50;G;
33;3;4;200;Cu;
33;2;4;100;L;
33;1;4;200;Cu;
32;21;4;100;G;
32;20;4;200;G;
32;19;4;200;G;
32;18;4;150;Cu;
32;17;4;150;L;
32;16;4;150;G;
32;15;4;50;L;
32;14;4;25;G;Old stock right next to it (Yvyra pyta)
32;13;4;200;Cu;
32;12;4;200;G;
32;11;4;150;L;
32;10;4;200;Cu;
32;9;4;200;Cu;
32;8;3;50;G;
32;7;4;100;Cu;
32;6;0;200;Cu;mowing damage
32;5;4;25;G;
32;4;4;50;L;
32;3;4;200;Cu;
32;2;4;200;Cu;
32;1;4;200;Cu;
31;26;4;200;Cu;
31;25;4;200;Cu;
31;24;4;200;L;
31;23;4;150;L;
31;22;4;200;Cu;
31;21;4;50;L;
31;20;4;200;Cu;
31;19;4;200;L;
31;18;4;200;Cu;
31;17;4;200;L;
31;16;4;200;Cu;
31;15;4;50;L;
31;14;4;50;L;Old stock right next to it (Curupa'y)
31;13;4;200;Cu;
31;12;1;10;L;eaten away 
31;11;3;10;G;
31;10;4;150;L;
31;9;0;0;G;
31;8;4;200;Cu;
31;7;4;200;Cu;
31;6;4;200;Cu;
31;5;4;200;Cu;
31;4;3;25;G;
31;3;4;100;G;
31;2;4;50;G;
31;1;4;200;Cu;
30;30;4;200;Cu;Neighbor's tree needs to be cut down (otherwise it will grow together)
30;29;4;200;G;
30;28;4;200;Cu;
30;27;4;200;Cu;
30;26;4;150;G;
30;25;0;0;G;
30;24;4;200;Cu;
30;23;4;200;Cu;
30;22;4;200;Y;Old stock (Yvyra pyta)
30;21;0;;Cu;
30;20;4;200;Cu;
30;19;4;200;Cu;
30;18;4;50;Y;
30;17;4;200;Y;
30;16;4;50;Y;
30;15;4;150;Cu;
30;14;3;25;G;
30;13;4;100;L;
30;12;3;50;Cu;
30;11;4;200;Cu;
30;10;4;200;Cu;
30;9;4;25;G;
30;8;4;200;Cu;
30;7;4;200;Cu;
30;6;0;10;G;missing 
30;5;4;200;G;
30;4;4;200;Cu;
30;3;4;200;Cu;
30;2;4;200;G;
30;1;4;200;G;
29;34;4;150;G;Neighbor's tree needs to be cut down (otherwise it will grow together)
29;33;4;200;G;
29;32;4;200;G;
29;31;4;200;Cu;
29;30;0;;G;
29;29;4;200;G;
29;28;4;200;G;
29;27;4;200;Cu;
29;26;4;200;Cu;
29;25;4;200;Cu;
29;24;4;150;Y;
29;23;4;50;Y;
29;22;4;100;Y;
29;21;4;200;Y;
29;20;4;200;Cu;
29;19;4;100;Y;
29;18;3;25;G;
29;17;4;100;L;
29;16;4;200;Cu;
29;15;4;200;Cu;
29;14;4;200;Cu;
29;13;4;200;Cu;
29;12;3;25;G;
29;11;4;200;Cu;
29;10;3;25;G;
29;9;4;25;G;
29;8;4;25;G;
29;7;4;200;Cu;
29;6;4;200;Cu;
29;5;4;150;G;
29;4;4;200;G;
29;3;4;200;Cu;
29;2;4;200;Cu;Neighbor's tree needs to be cut down (otherwise it will grow together)
29;1;4;200;G;Neighbor's tree needs to be cut down (otherwise it will grow together)
28;35;4;200;Y;
28;34;4;200;Cu;
28;33;4;200;G;
28;32;4;200;G;
28;31;4;200;G;
28;30;4;200;L;
28;29;4;200;Cu;Old stock (Curupa'y)
28;28;4;200;L;
28;27;4;100;L;
28;26;0;;Cu;
28;25;4;200;Y;
28;24;4;200;Cu;
28;23;3;50;L;
28;22;4;100;G;
28;21;4;200;Cu;
28;20;4;25;G;
28;19;4;200;Cu;
28;18;4;200;L;
28;17;4;100;Y;
28;16;3;100;P;
28;15;4;100;Y;
28;14;4;200;Cu;
28;13;0;0;G;
28;12;4;200;Cu;
28;11;4;150;L;
28;10;3;25;C;
28;9;4;25;G;
28;8;4;50;G;Old stock right next to it (Curupa'y)
28;7;4;150;P;
28;6;4;200;Y;
28;5;4;200;L;
28;4;4;100;G;
28;3;4;200;L;
28;2;4;200;Y;
28;1;4;200;L;Old stock right next to it (Yvyra Pyta)
27;36;4;200;G;
27;35;4;150;G;
27;34;4;200;Cu;
27;33;4;200;Cu;
27;32;4;50;G;
27;31;4;200;G;
27;30;4;200;L;
27;29;4;200;Y;
27;28;4;150;Ti;Old stock right next to it (Yvyra Pyta)
27;27;4;150;Ti;
27;26;4;200;Cu;Shrub next to it to be removed
27;25;4;200;L;
27;24;4;200;L;
27;23;4;100;Y;
27;22;3;25;G;
27;21;4;200;Cu;
27;20;4;200;Cu;
27;19;4;100;P;
27;18;4;200;L;
27;17;3;50;P;
27;16;4;100;G;
27;15;4;100;Y;
27;14;4;100;P;
27;13;4;200;Y;
27;12;4;200;L;
27;11;4;100;Cu;
27;10;4;200;Y;
27;9;4;200;L;
27;8;4;200;Y;
27;7;4;150;P;
27;6;4;200;L;
27;5;4;100;G;
27;4;4;200;P;
27;3;4;200;Y;
27;2;4;200;Cu;
27;1;4;200;Y;
26;36;4;200;Y;
26;35;4;200;L;
26;34;4;150;G;
26;33;4;200;Y;Old stock (Yvyra pyta)
26;32;4;200;Cu;
26;31;4;100;G;
26;30;4;100;L;
26;29;3;25;G;
26;28;4;200;Cu;Old stock right next to it (Yvyra pyta)
26;27;4;200;L;
26;26;4;150;P;
26;25;4;200;L;
26;24;4;200;Y;
26;23;4;150;G;
26;22;4;200;Cu;
26;21;3;100;Y;
26;20;4;200;Cu;
26;19;4;150;L;
26;18;3;100;Y;
26;17;4;200;Cu;
26;16;4;150;L;
26;15;4;100;Y;
26;14;4;150;Y;
26;13;4;200;Cu;
26;12;4;200;Y;
26;11;4;200;L;
26;10;4;200;Y;
26;9;4;200;Cu;
26;8;4;200;L;
26;7;4;200;Y;
26;6;4;200;P;
26;5;4;200;C;
26;4;4;150;P;
26;3;4;200;Y;
26;2;4;200;Ti;
26;1;4;200;Cu;Old stock right next to it (Yvyra pyta)
25;36;4;150;P;
25;35;0;0;Cu;
25;34;4;200;Ti;
25;33;4;50;G;
25;32;4;200;Cu;
25;31;4;200;Cu;
25;30;4;200;Cu;
25;29;4;100;G;
25;28;4;10;G;
25;27;4;10;G;
25;26;4;150;P;
25;25;4;100;G;
25;24;4;50;G;
25;23;4;150;L;
25;22;4;150;G;
25;21;4;50;L;
25;20;4;200;L;
25;19;3;10;G;sprouted new leaves
25;18;4;100;P;
25;17;4;200;?;
25;16;4;50;P;
25;15;4;100;C;
25;14;4;150;L;
25;13;4;150;L;
25;12;4;200;Ti;
25;11;4;200;L;
25;10;4;200;Cu;
25;9;4;200;Cu;
25;8;3;100;P;
25;7;4;150;L;
25;6;3;50;P;
25;5;3;25;P;
25;4;4;200;Cu;
25;3;3;50;G;
25;2;4;200;Y;
25;1;4;200;L;
24;36;4;200;Ti;
24;35;4;200;L;
24;34;4;150;Ti;
24;33;4;200;L;
24;32;3;50;P;
24;31;3;50;Y;
24;30;4;150;Cu;
24;29;3;50;L;
24;28;4;100;Y;
24;27;4;150;G;
24;26;4;100;L;
24;25;4;200;Cu;
24;24;4;100;L;
24;23;3;25;P;sprouted new leaves
24;22;4;50;L;
24;21;0;;G;
24;20;4;200;L;
24;19;4;200;Y;
24;18;4;200;L;
24;17;3;25;P;
24;16;4;150;Y;
24;15;3;100;Y;
24;14;4;150;L;
24;13;3;50;P;
24;12;4;150;G;
24;11;3;100;P;
24;10;4;25;G;
24;9;4;150;Y;
24;8;3;50;L;
24;7;4;50;Y;
24;6;3;50;Y;
24;5;4;200;Cu;
24;4;4;100;G;
24;3;4;200;Ti;
24;2;3;100;C;
24;1;4;150;Y;
23;37;4;200;L;
23;36;4;200;L;
23;35;4;200;Y;
23;34;4;150;Y;
23;33;4;200;Y;
23;32;4;200;Y;Old stock (Yvyra pyta)
23;31;4;150;Y;
23;30;4;200;L;
23;29;0;0;G;
23;28;4;200;Cu;
23;27;4;50;G;
23;26;4;50;Y;
23;25;0;0;G;
23;24;4;150;Cu;
23;23;4;100;L;
23;22;4;200;Cu;
23;21;4;150;L;
23;20;4;200;Cu;
23;19;4;100;G;
23;18;4;50;L;
23;17;4;200;Cu;
23;16;4;150;L;
23;15;2;50;Ti;eaten away 
23;14;4;50;P;
23;13;4;150;Y;
23;12;4;200;Y;
23;11;4;100;Y;
23;10;3;100;L;
23;9;3;25;Y;
23;8;4;200;Cu;
23;7;4;100;P;
23;6;4;150;Y;
23;5;4;200;Cu;
23;4;4;200;Cu;
23;3;4;200;Y;
23;2;3;25;L;
23;1;4;200;Y;
22;36;4;200;Y;
22;35;4;150;Y;
22;34;4;150;Y;
22;33;4;200;L;
22;32;4;200;Y;
22;31;4;200;Cu;
22;30;4;50;Y;
22;29;3;10;P;sprouted new leaves
22;28;4;150;L;
22;27;4;25;G;
22;26;3;25;Y;
22;25;3;25;Y;
22;24;4;50;Y;
22;23;4;100;L;
22;22;4;150;L;
22;21;4;50;G;
22;20;4;25;G;
22;19;3;50;L;
22;18;4;150;Cu;
22;17;4;100;L;
22;16;4;50;P;sprouted new leaves
22;15;4;100;L;
22;14;3;25;P;
22;13;4;50;Y;
22;12;4;150;Y;
22;11;4;50;G;
22;10;0;;G;
22;9;3;25;Y;
22;8;3;50;L;
22;7;4;150;Y;
22;6;4;200;Cu;
22;5;4;200;Cu;
22;4;4;200;L;
22;3;4;50;P;
22;2;4;150;P;
22;1;4;200;G;
21;37;4;200;G;
21;36;4;200;Cu;
21;35;4;200;L;
21;34;4;200;Y;
21;33;0;0;G;
21;32;3;25;Y;
21;31;0;0;L;
21;30;4;50;Y;
21;29;0;0;G;
21;28;4;50;Y;
21;27;4;200;Cu;
21;26;3;25;Y;
21;25;4;200;Cu;
21;24;3;10;G;
21;23;4;200;Cu;
21;22;4;150;Y;
21;21;4;200;Cu;
21;20;4;50;L;
21;19;3;25;Y;
21;18;4;10;G;mowing damage 
21;17;4;50;L;
21;16;4;50;Y;
21;15;4;50;C;
21;14;4;200;Cu;
21;13;3;10;G;
21;12;4;50;P;
21;11;4;150;L;
21;10;4;200;Cu;
21;9;3;10;Y;
21;8;4;100;G;
21;7;4;200;Cu;
21;6;4;200;L;
21;5;4;150;P;
21;4;4;200;Y;
21;3;4;200;Cu;
21;2;4;150;L;
21;1;0;100;Y;dry 
20;37;4;200;Cu;
20;36;4;200;U;
20;35;4;200;Y;
20;34;4;200;G;
20;33;4;200;Y;
20;32;4;200;L;
20;31;4;100;C;
20;30;4;200;Cu;
20;29;0;0;Y;Old stock next to it (Curupa'y)
20;28;4;150;L;
20;27;3;25;Y;
20;26;4;10;G;
20;25;4;100;P;
20;24;3;50;Y;
20;23;0;0;G;
20;22;0;;Y;
20;21;4;50;L;
20;20;3;25;Y;
20;19;4;50;P;
20;18;4;100;Y;
20;17;4;50;Y;
20;16;4;50;P;
20;15;4;100;Y;
20;14;3;25;Y;
20;13;3;10;P;
20;12;4;150;L;
20;11;3;10;G;
20;10;0;10;Y;missing 
20;9;4;50;Y;
20;8;0;10;P;
20;7;4;200;Y;
20;6;4;100;L;
20;5;4;200;Y;
20;4;4;150;G;
20;3;4;200;Y;
20;2;3;50;G;
20;1;4;200;Y;
19;37;4;200;Cu;Tree next doorto it to be removed
19;36;4;150;L;
19;35;4;200;Y;
19;34;4;200;Y;
19;33;4;200;Y;
19;32;4;200;G;
19;31;0;;L;
19;30;4;200;Cu;
19;29;4;150;Y;
19;28;4;150;Ti;
19;27;4;200;Y;
19;26;4;100;P;
19;25;4;100;Y;
19;24;4;100;Y;
19;23;4;200;Y;
19;22;3;200;Y;
19;21;4;150;Y;
19;20;4;150;Cu;
19;19;2;50;L;
19;18;3;50;Y;
19;17;4;100;Y;
19;16;4;100;Y;
19;15;3;10;Y;sprouted new leaves
19;14;4;100;Y;
19;13;4;25;P;
19;12;4;100;G;
19;11;4;200;Cu;
19;10;0;0;G;
19;9;4;200;U;
19;8;4;100;G;
19;7;4;25;G;
19;6;4;200;Cu;
19;5;4;50;L;
19;4;3;10;P;
19;3;4;150;G;
19;2;4;150;Cu;
19;1;4;50;L;
18;37;4;200;L;
18;36;4;200;L;
18;35;4;200;Ti;
18;34;4;200;L;
18;33;4;150;G;
18;32;4;150;L;
18;31;4;100;Y;
18;30;4;50;Y;
18;29;4;100;Y;
18;28;4;100;L;
18;27;4;150;P;
18;26;4;150;Y;
18;25;4;150;Y;
18;24;4;200;Cu;
18;23;4;150;P;
18;22;4;200;P;
18;21;4;150;L;
18;20;4;50;Y;
18;19;4;10;G;
18;18;4;150;Y;
18;17;4;25;G;
18;16;4;100;L;
18;15;4;100;L;
18;14;4;100;Y;
18;13;3;25;P;
18;12;4;50;L;
18;11;4;200;Cu;
18;10;4;50;Ti;
18;9;4;150;U;
18;8;4;200;Cu;
18;7;4;200;L;
18;6;4;200;Y;
18;5;4;200;Cu;
18;4;4;200;Cu;
18;3;3;25;G;
18;2;4;200;Cu;
18;1;0;50;L;
17;37;4;100;P;
17;36;4;50;L;
17;35;4;200;Cu;
17;34;4;200;Y;
17;33;4;200;U;
17;32;3;100;P;
17;31;4;150;Y;
17;30;4;100;L;Old stock right next to it (Paraiso) 
17;29;4;100;G;
17;28;4;100;Y;
17;27;4;100;G;
17;26;4;100;P;
17;25;3;10;Y;sprouted new leaves
17;24;3;50;L;sprouted new leaves
17;23;4;10;G;
17;22;4;50;Y;
17;21;4;100;P;
17;20;4;150;G;
17;19;4;150;L;
17;18;4;200;Cu;
17;17;4;25;G;
17;16;4;50;Y;
17;15;4;50;P;
17;14;4;50;L;
17;13;4;25;P;
17;12;4;150;L;
17;11;4;100;P;
17;10;4;200;Cu;
17;9;4;200;Cu;
17;8;4;150;Ti;
17;7;4;200;Cu;
17;6;4;50;Y;
17;5;4;50;G;
17;4;4;200;Cu;
17;3;4;50;G;
17;2;4;50;G;
17;1;4;200;Y;
16;37;4;100;Y;
16;36;3;100;P;
16;35;4;150;Y;
16;34;4;50;G;
16;33;4;150;Cu;
16;32;4;100;L;Shrub next to it to be removed (Sapiangy)
16;31;4;50;L;
16;30;4;50;L;
16;29;4;50;L;
16;28;4;50;Y;
16;27;4;50;L;
16;26;4;100;L;Old stock right next to it
16;25;4;200;U;
16;24;3;100;Ti;
16;23;3;25;P;
16;22;3;10;G;
16;21;4;50;L;
16;20;4;200;Cu;
16;19;3;10;G;
16;18;4;50;G;
16;17;4;150;P;
16;16;4;50;Y;
16;15;4;200;Cu;
16;14;4;200;Cu;
16;13;4;50;Y;
16;12;3;50;C;
16;11;3;10;G;
16;10;4;200;U;
16;9;4;50;G;
16;8;3;100;P;
16;7;4;50;Y;
16;6;4;50;P;
16;5;4;50;Y;
16;4;4;100;L;
16;3;4;200;Cu;
16;2;4;25;G;
16;1;4;50;G;
15;37;4;200;Cu;Old stock right next to it (Curupa'y)
15;36;4;100;Y;
15;35;4;150;P;
15;34;3;50;Y;
15;33;4;100;P;
